typeID,materialTypeID,quantity
527,34,862
527,35,792
527,36,529
527,9840,12
527,9842,8
527,11399,8
527,11538,3
529,34,7396
529,35,967
529,38,3
529,40,2
530,34,2093
530,35,1532
530,36,22
530,37,138
530,40,2
533,34,520
533,35,39
533,36,198
533,37,96
533,39,2
533,40,2
561,34,231
561,35,220
562,34,996
562,35,300
562,39,2
563,34,1667
563,35,144
563,36,83
563,37,22
564,34,1596
564,35,690
564,36,144
565,34,2729
565,35,148
565,36,171
565,39,4
566,34,4453
566,35,1287
566,36,1199
566,40,2
567,34,827
567,35,598
567,36,493
568,34,9089
568,35,2786
568,36,2827
568,37,14
568,38,1
569,34,4529
569,35,1643
569,36,2413
569,38,1
570,34,9133
570,35,2981
570,36,3599
570,37,2
570,38,18
571,34,45551
571,35,12150
571,36,6060
571,37,1596
571,38,126
571,39,16
572,34,13683
572,35,4117
572,36,3851
572,39,2
572,40,8
573,34,91067
573,35,23527
573,36,8613
573,37,2294
573,38,324
573,39,18
573,40,52
574,34,113880
574,35,29214
574,36,9747
574,37,2650
574,38,411
574,39,42
574,40,74
575,34,68307
575,35,17839
575,36,7197
575,37,1951
575,38,234
575,39,12
575,40,26
577,34,242
577,35,148
577,36,569
577,39,2
577,40,2
578,34,8071
578,35,7488
578,36,219
578,37,2
580,34,538
580,35,52
580,36,298
580,37,9
580,38,4
580,39,4
580,40,6
581,34,13889
582,34,22222
582,35,8000
582,36,2444
582,37,500
582,38,2
582,39,4
583,34,20000
583,35,4444
583,36,2111
583,37,556
583,38,11
583,39,2
584,34,13333
584,35,12778
584,36,1667
584,37,222
584,38,56
584,39,22
584,40,6
585,34,21111
585,35,5000
585,36,1667
585,37,111
585,38,100
585,40,6
586,34,15556
586,35,10222
586,36,2778
586,37,111
586,38,78
586,39,34
586,40,6
587,34,22778
587,35,6222
587,36,2222
587,37,356
587,38,133
587,39,34
587,40,2
589,34,22222
589,35,4444
589,36,1667
589,37,333
589,38,67
589,39,12
590,34,16667
590,35,12222
590,36,2778
590,37,11
590,38,6
590,39,2
590,40,2
591,34,22222
591,35,2444
591,36,4444
591,37,222
591,38,44
591,39,22
592,34,18889
592,35,4667
592,36,3556
592,37,278
592,38,33
592,39,12
593,34,23333
593,35,6333
593,36,3000
593,37,333
593,38,78
593,39,22
593,40,2
594,34,13333
594,35,11111
594,36,4000
594,37,33
594,38,17
594,39,12
597,34,22778
597,35,6111
597,36,2889
597,37,400
597,38,89
597,39,34
598,34,17778
598,35,15000
598,36,2778
598,37,111
598,38,2
598,39,4
598,40,2
599,34,17778
599,35,3333
599,36,4444
599,37,167
599,38,22
599,39,6
599,40,2
602,34,17778
602,35,5556
602,36,2889
602,37,1111
602,38,56
602,39,22
603,34,21111
603,35,8889
603,36,3111
603,37,589
603,38,2
603,39,4
603,40,4
605,34,13333
605,35,11111
605,36,2444
605,37,556
605,38,56
605,39,16
605,40,8
607,34,16667
607,35,10556
607,36,2556
607,37,278
607,38,50
607,39,44
607,40,4
608,34,20556
608,35,3889
608,36,2222
608,37,278
608,38,56
608,39,12
609,34,15556
609,35,13333
609,36,2222
609,37,56
609,38,2
609,39,4
620,34,544444
620,35,130000
620,36,31111
620,37,8778
620,38,1556
620,39,888
620,40,178
621,34,544444
621,35,122222
621,36,36667
621,37,10444
621,38,3333
621,39,1400
621,40,556
622,34,511111
622,35,188889
622,36,40000
622,37,10333
622,38,2778
622,39,1244
622,40,244
623,34,611111
623,35,155556
623,36,40000
623,37,9889
623,38,2667
623,39,1266
623,40,388
624,34,633333
624,35,144444
624,36,42222
624,37,10000
624,38,2556
624,39,1222
624,40,322
625,34,577778
625,35,115556
625,36,33333
625,37,8667
625,38,1444
625,39,778
625,40,134
626,34,622222
626,35,133333
626,36,41111
626,37,10111
626,38,2889
626,39,1312
626,40,356
627,34,577778
627,35,144444
627,36,38889
627,37,10556
627,38,3000
627,39,1134
627,40,288
628,34,444444
628,35,100000
628,36,41111
628,37,8889
628,38,2222
628,39,1112
628,40,222
629,34,611111
629,35,166667
629,36,38889
629,37,10222
629,38,2556
629,39,1044
629,40,422
630,34,433333
630,35,101111
630,36,43333
630,37,9000
630,38,2222
630,39,1000
630,40,178
631,34,533333
631,35,140000
631,36,34444
631,37,8556
631,38,1222
631,39,822
631,40,156
632,34,411111
632,35,95556
632,36,40000
632,37,9444
632,38,2444
632,39,1222
632,40,334
633,34,422222
633,35,96667
633,36,43333
633,37,10000
633,38,2111
633,39,1088
633,40,200
634,34,566667
634,35,134444
634,36,32222
634,37,8889
634,38,1111
634,39,800
634,40,200
638,34,10608667
638,35,2652667
638,36,664444
638,37,165911
638,38,41422
638,39,19756
638,40,6288
639,34,10321889
639,35,2581444
639,36,647667
639,37,161511
639,38,40278
639,39,19000
639,40,5466
640,34,10649667
640,35,2263111
640,36,607000
640,37,166200
640,38,36011
640,39,16066
640,40,6688
641,34,10321889
641,35,2637000
641,36,646889
641,37,161433
641,38,40300
641,39,19112
641,40,5866
642,34,10608667
642,35,2652667
642,36,664444
642,37,165922
642,38,41467
642,39,20044
642,40,6400
643,34,12090111
643,35,3024444
643,36,762222
643,37,189478
643,38,47256
643,39,22178
643,40,10312
644,34,10279111
644,35,2792889
644,36,624889
644,37,164589
644,38,34656
644,39,18244
644,40,4800
645,34,11564444
645,35,2892889
645,36,728333
645,37,181211
645,38,45133
645,39,20644
645,40,7556
648,34,71111
648,35,12667
648,36,6667
648,37,444
648,38,222
648,39,66
648,40,12
649,34,59444
649,35,15333
649,36,5833
649,37,1389
649,38,278
649,39,88
649,40,14
650,34,53333
650,35,13444
650,36,5111
650,37,356
650,38,244
650,39,56
650,40,22
651,34,90000
651,35,10556
651,36,4111
651,37,578
651,38,200
651,39,34
651,40,26
652,34,73333
652,35,18889
652,36,7333
652,37,1233
652,38,344
652,39,112
652,40,18
653,34,82222
653,35,9333
653,36,3889
653,37,667
653,38,133
653,39,88
653,40,12
654,34,71111
654,35,15889
654,36,4889
654,37,700
654,38,194
654,39,66
654,40,22
655,34,69444
655,35,11667
655,36,4556
655,37,611
655,38,189
655,39,56
655,40,12
656,34,67778
656,35,12222
656,36,5111
656,37,711
656,38,222
656,39,56
656,40,16
657,34,74444
657,35,13778
657,36,8667
657,37,1167
657,38,333
657,39,100
657,40,22
671,21009,444
671,21011,444
671,21013,444
671,21017,444
671,21019,556
671,21021,222
671,21023,333
671,21025,556
671,21035,444
671,21037,556
671,24545,556
671,24547,556
671,24556,556
671,24558,556
671,24560,556
672,34,2778
1182,34,596
1182,35,16
1182,36,3
1182,37,14
1183,34,858
1183,35,288
1183,40,4
1183,9848,3
1183,11399,1
1183,11539,1
1185,34,684
1185,35,427
1185,36,153
1185,37,2
1185,38,2
1190,34,7396
1190,35,967
1190,38,3
1190,40,2
1190,9838,15
1190,11399,5
1190,11539,5
1190,11554,8
1192,34,904
1192,40,1
1193,34,28
1193,35,181
1193,36,15
1195,34,763
1195,35,321
1195,36,412
1195,40,2
1197,34,666
1197,35,502
1197,36,1
1197,37,1
1198,34,666
1198,35,502
1198,36,1
1198,37,1
1198,11399,1
1198,11543,1
1198,11544,1
1198,11545,3
1201,34,5947
1201,35,729
1201,37,47
1201,38,27
1201,39,18
1202,34,56
1202,37,2
1202,38,9
1202,40,2
1223,35,12000
1223,39,450
1223,40,100
1224,34,351
1224,35,25
1224,36,50
1224,38,5
1225,34,21000
1225,38,760
1225,39,135
1226,36,350
1226,38,75
1226,39,8
1227,34,800
1227,35,100
1227,37,85
1228,34,346
1228,35,173
1229,35,2200
1229,36,2400
1229,37,300
1230,34,415
1231,34,2200
1231,37,100
1231,38,120
1231,39,15
1232,34,10000
1232,37,1600
1232,38,120
1236,34,234
1236,35,3413
1236,3689,3
1236,11399,1
1236,11530,5
1240,35,625
1242,37,9
1242,38,1
1244,34,234
1244,35,3413
1246,34,507
1246,35,51
1246,36,73
1246,37,7
1248,34,507
1248,35,51
1248,36,73
1248,37,7
1248,9838,5
1248,11399,1
1248,11539,1
1248,11554,5
1254,34,231
1254,35,307
1254,36,18
1254,37,9
1256,34,231
1256,35,307
1256,36,18
1256,37,9
1256,9838,5
1256,11399,1
1256,11539,1
1256,11554,5
1262,34,180
1262,35,35
1262,36,2
1262,37,2
1262,38,2
1264,34,666
1264,35,502
1264,36,1
1264,37,1
1266,34,666
1266,35,502
1266,36,1
1266,37,1
1266,11399,1
1266,11542,3
1266,11543,3
1272,34,16
1272,35,184
1272,36,3
1272,37,3
1274,34,666
1274,35,502
1274,36,1
1274,37,1
1276,34,666
1276,35,502
1276,36,1
1276,37,1
1276,11399,1
1276,11543,3
1276,11544,3
1282,34,56
1282,35,166
1282,36,1
1282,38,1
1284,34,666
1284,35,502
1284,36,1
1284,37,1
1286,34,666
1286,35,502
1286,36,1
1286,37,1
1286,11399,1
1286,11542,1
1286,11544,3
1286,11545,1
1292,34,128
1292,35,88
1292,37,8
1294,34,666
1294,35,502
1294,36,1
1294,37,1
1296,34,666
1296,35,502
1296,36,1
1296,37,1
1296,11399,1
1296,11542,3
1296,11545,3
1302,34,192
1302,36,2
1302,38,3
1304,34,896
1304,35,698
1304,36,29
1306,34,896
1306,35,698
1306,36,29
1306,11399,1
1306,11542,1
1306,11543,1
1306,11544,1
1306,11545,1
1315,36,5
1315,37,5
1317,37,10
1317,38,1
1319,37,10
1319,38,1
1319,3828,8
1319,11399,1
1319,11538,1
1319,11545,1
1333,34,6944
1335,34,6944
1335,3828,8
1335,11399,1
1351,34,200
1351,35,50
1351,36,19
1351,37,20
1353,34,516
1353,35,67
1353,36,2
1353,37,73
1355,34,516
1355,35,67
1355,36,2
1355,37,73
1355,9838,3
1355,11399,1
1355,11539,5
1355,11554,3
1401,37,1
1401,38,4
1403,34,1786
1403,35,304
1403,36,1
1405,34,1786
1405,35,304
1405,36,1
1405,3689,5
1405,11399,1
1405,11530,3
1419,34,240
1419,36,61
1419,37,7
1419,38,3
1422,34,1116
1422,35,861
1422,38,3
1422,9838,8
1422,11399,1
1422,11539,1
1422,11554,1
1436,34,596
1436,35,16
1436,36,3
1436,37,14
1436,9840,5
1436,9842,11
1436,11399,3
1436,11536,3
1436,11540,1
1436,11551,1
1445,34,1116
1445,35,861
1445,38,3
1447,34,1116
1447,35,861
1447,38,3
1447,9838,8
1447,11399,1
1447,11539,1
1447,11554,1
1537,34,8
1537,35,274
1537,36,3
1537,37,13
1539,35,658
1539,36,2
1539,37,4
1539,38,1
1539,39,4
1541,35,658
1541,36,2
1541,37,4
1541,38,1
1541,39,4
1541,9838,1
1541,11399,1
1541,11539,8
1541,11554,1
1547,34,6538
1547,35,4288
1547,36,7
1547,38,2
1547,39,6
1549,34,6538
1549,35,4288
1549,36,7
1549,38,2
1549,39,6
1549,11399,3
1549,11692,6
1551,34,6649
1551,35,4381
1551,36,97
1551,38,1
1551,40,2
1553,34,6649
1553,35,4381
1553,36,97
1553,38,1
1553,40,2
1553,11399,3
1553,11693,6
1557,34,7889
1557,35,4948
1557,36,51
1557,38,1
1557,40,2
1559,34,7889
1559,35,4948
1559,36,51
1559,38,1
1559,40,2
1559,11399,3
1559,11695,6
1563,34,7884
1563,35,5283
1563,36,17
1563,39,4
1563,40,2
1565,34,7884
1565,35,5283
1565,36,17
1565,39,4
1565,40,2
1565,11399,3
1565,11694,6
1798,34,1011
1798,35,352
1798,36,3
1798,37,20
1800,34,1011
1800,35,352
1800,36,3
1800,37,20
1802,34,1011
1802,35,352
1802,36,3
1802,37,20
1804,34,1011
1804,35,352
1804,36,3
1804,37,20
1808,34,2106
1808,35,2077
1810,34,69
1810,35,43
1810,36,2
1814,34,54
1814,35,16
1814,36,6
1816,34,58
1816,35,72
1818,34,820
1818,38,2
1820,34,496
1820,35,220
1820,38,2
1822,34,351
1822,35,119
1822,38,1
1824,34,716
1824,35,2
1824,36,6
1824,38,3
1826,34,1867
1826,35,144
1826,36,17
1826,38,2
1826,39,4
1828,34,3084
1828,35,472
1828,36,68
1828,39,4
1830,34,1447
1830,36,81
1830,37,4
1830,39,2
1832,34,1842
1832,35,707
1832,39,4
1855,34,551
1855,36,34
1855,9840,3
1855,9842,5
1855,11399,1
1855,11539,5
1875,34,560
1875,35,492
1875,36,92
1875,37,2
1875,38,3
1877,34,560
1877,35,492
1877,36,92
1877,37,2
1877,38,3
1877,9848,3
1877,11399,3
1877,11540,5
1893,34,232
1893,35,158
1893,36,206
1893,37,1
1893,38,3
1912,34,946667
1912,35,133333
1914,34,946667
1914,35,133333
1916,34,946667
1916,35,133333
1918,34,946667
1918,35,133333
1944,34,80556
1944,35,18111
1944,36,5667
1944,37,556
1944,38,183
1944,39,88
1944,40,20
1946,34,856
1946,36,52
1946,38,3
1947,34,236
1947,35,3413
1948,34,2884
1948,35,919
1948,40,2
1949,35,252
1949,36,1
1949,37,5
1949,39,1
1951,34,148
1951,35,375
1951,36,65
1951,37,3
1952,34,5030
1952,35,78
1952,37,2
1952,9840,5
1952,9842,11
1952,11399,3
1952,11534,6
1952,11540,5
1955,34,2884
1955,35,919
1955,40,2
1956,34,2884
1956,35,919
1956,40,2
1957,37,62
1957,38,49
1958,34,2884
1958,35,919
1958,40,2
1959,34,5662
1959,35,3998
1959,36,34
1960,34,5662
1960,35,3998
1960,36,34
1960,9840,45
1960,9842,15
1960,11399,15
1960,11538,8
1960,11540,8
1960,11541,8
1963,34,5662
1963,35,3998
1963,36,34
1964,34,5662
1964,35,3998
1964,36,34
1964,9840,8
1964,9842,9
1964,11399,6
1964,11534,8
1964,11540,5
1968,34,252
1968,35,766
1968,36,1053
1968,37,119
1969,34,252
1969,35,766
1969,36,1053
1969,37,119
1969,9840,8
1969,9842,14
1969,11399,8
1969,11534,9
1969,11540,5
1973,34,5030
1973,35,78
1973,37,2
1977,34,949
1977,40,2
1978,34,949
1978,40,2
1978,3689,1
1978,9842,9
1978,11399,11
1978,11538,12
1982,34,856
1982,36,52
1982,38,3
1983,34,856
1983,36,52
1983,38,3
1984,34,856
1984,36,52
1984,38,3
1985,34,1525
1985,35,231
1985,36,67
1985,37,7
1985,39,1
1986,34,413
1986,35,79
1986,36,148
1986,37,1
1986,39,6
1987,34,413
1987,35,79
1987,36,148
1987,37,1
1987,39,6
1987,9840,3
1987,9842,8
1987,11399,1
1987,11534,8
1987,11540,5
1998,34,538
1998,35,88
1998,36,369
1998,37,1
1998,38,4
1999,34,538
1999,35,88
1999,36,369
1999,37,1
1999,38,4
1999,3689,8
1999,9842,3
1999,11399,5
1999,11538,8
2001,2867,15
2001,2868,11
2001,2869,22
2001,2870,22
2001,2871,15
2001,2872,15
2001,2875,22
2001,2876,11
2001,21037,7
2002,34,236
2002,35,3413
2003,34,236
2003,35,3413
2004,34,236
2004,35,3413
2005,34,236
2005,35,3413
2006,34,566667
2006,35,133333
2006,36,37778
2006,37,10667
2006,38,2889
2006,39,1312
2006,40,412
2008,2867,8
2008,2868,6
2008,2869,11
2008,2870,11
2008,2871,8
2008,2872,8
2008,2875,11
2008,2876,6
2008,21037,3
2009,2867,5
2009,2868,4
2009,2869,6
2009,2870,6
2009,2871,5
2009,2872,5
2009,2875,6
2009,2876,4
2009,21037,1
2018,34,1338
2018,35,1058
2018,36,493
2018,37,2
2018,38,1
2020,34,4574
2020,35,1734
2020,36,1307
2020,39,4
2022,34,9148
2022,35,2908
2022,36,2260
2022,37,102
2022,38,56
2022,39,18
2024,34,242
2024,35,148
2024,36,569
2024,39,2
2024,40,2
2024,9838,12
2024,11399,3
2024,11539,5
2024,11554,6
2026,2867,5
2026,2868,4
2026,2869,6
2026,2870,6
2026,2871,5
2026,2872,5
2026,2875,6
2026,2876,4
2026,21037,1
2027,2867,8
2027,2868,6
2027,2869,11
2027,2870,11
2027,2871,8
2027,2872,8
2027,2875,11
2027,2876,6
2027,21037,3
2028,2867,14
2028,2868,10
2028,2869,21
2028,2870,21
2028,2871,14
2028,2872,14
2028,2875,21
2028,2876,10
2028,21037,6
2029,2867,18
2029,2868,13
2029,2869,27
2029,2870,27
2029,2871,18
2029,2872,18
2029,2875,27
2029,2876,13
2029,21037,8
2030,2867,22
2030,2868,16
2030,2869,33
2030,2870,33
2030,2871,22
2030,2872,22
2030,2875,33
2030,2876,16
2030,21037,10
2031,2867,7
2031,2868,5
2031,2869,11
2031,2870,11
2031,2871,7
2031,2872,7
2031,2875,11
2031,2876,5
2031,21037,3
2032,34,763
2032,35,321
2032,36,412
2032,40,2
2032,9838,5
2032,11399,3
2032,11539,1
2032,11554,1
2034,2867,14
2034,2868,10
2034,2869,21
2034,2870,21
2034,2871,14
2034,2872,14
2034,2875,21
2034,2876,10
2034,21037,6
2035,2867,22
2035,2868,16
2035,2869,33
2035,2870,33
2035,2871,22
2035,2872,22
2035,2875,33
2035,2876,16
2035,21037,9
2036,2867,30
2036,2868,22
2036,2869,44
2036,2870,44
2036,2871,30
2036,2872,30
2036,2875,44
2036,2876,22
2036,21037,13
2037,2867,37
2037,2868,27
2037,2869,55
2037,2870,55
2037,2871,37
2037,2872,37
2037,2875,55
2037,2876,27
2037,21037,16
2038,34,589
2038,35,3
2038,36,14
2038,9840,3
2038,9842,5
2038,11399,1
2038,11539,5
2040,2867,4
2040,2868,3
2040,2869,6
2040,2870,6
2040,2871,4
2040,2872,4
2040,2875,6
2040,2876,3
2040,21037,1
2041,2867,6
2041,2868,5
2041,2869,7
2041,2870,7
2041,2871,6
2041,2872,6
2041,2875,7
2041,2876,5
2041,21037,2
2042,2867,7
2042,2868,5
2042,2869,11
2042,2870,11
2042,2871,7
2042,2872,7
2042,2875,11
2042,2876,5
2042,21037,3
2043,2867,10
2043,2868,8
2043,2869,13
2043,2870,13
2043,2871,10
2043,2872,10
2043,2875,13
2043,2876,8
2043,21037,4
2044,2867,18
2044,2868,13
2044,2869,27
2044,2870,27
2044,2871,18
2044,2872,18
2044,2875,27
2044,2876,13
2044,21037,8
2046,34,1062
2046,35,2
2046,36,53
2048,34,1062
2048,35,2
2048,36,53
2048,3689,5
2048,3828,3
2048,11399,1
2048,11540,1
2048,11542,1
2048,11553,1
2048,11695,1
2050,34,75
2050,35,200
2050,36,500
2050,37,250
2050,38,10
2050,40,1
2053,2867,4
2053,2868,3
2053,2869,6
2053,2870,6
2053,2871,4
2053,2872,4
2053,2875,6
2053,2876,3
2053,21037,1
2054,2867,7
2054,2868,5
2054,2869,11
2054,2870,11
2054,2871,7
2054,2872,7
2054,2875,11
2054,2876,5
2054,21037,3
2055,2867,11
2055,2868,8
2055,2869,17
2055,2870,17
2055,2871,11
2055,2872,11
2055,2875,17
2055,2876,8
2055,21037,4
2056,2867,14
2056,2868,10
2056,2869,21
2056,2870,21
2056,2871,14
2056,2872,14
2056,2875,21
2056,2876,10
2056,21037,6
2057,2867,18
2057,2868,13
2057,2869,27
2057,2870,27
2057,2871,18
2057,2872,18
2057,2875,27
2057,2876,13
2057,21037,8
2058,2867,4
2058,2868,3
2058,2869,6
2058,2870,6
2058,2871,4
2058,2872,4
2058,2875,6
2058,2876,3
2058,21037,1
2059,2867,7
2059,2868,5
2059,2869,11
2059,2870,11
2059,2871,7
2059,2872,7
2059,2875,11
2059,2876,5
2059,21037,3
2060,2867,11
2060,2868,8
2060,2869,17
2060,2870,17
2060,2871,11
2060,2872,11
2060,2875,17
2060,2876,8
2060,21037,4
2061,2867,14
2061,2868,10
2061,2869,21
2061,2870,21
2061,2871,14
2061,2872,14
2061,2875,21
2061,2876,10
2061,21037,6
2062,2867,18
2062,2868,13
2062,2869,27
2062,2870,27
2062,2871,18
2062,2872,18
2062,2875,27
2062,2876,13
2062,21037,8
2078,34,2500
2082,38,1
2082,39,1
2082,40,1
2083,34,1
2103,34,3814
2103,35,3163
2103,36,3
2103,37,2
2104,34,3814
2104,35,3163
2104,36,3
2104,37,2
2104,9840,8
